Seed,School,Conference,Pre_Tourn_Record,Overall_Seed,Berth_type
1,Duke,ACC,29–5,1,Automatic
2,Michigan State,Big Ten,28–6,6,Automatic
3,LSU,SEC,26–6,11,At-Large
4,Virginia Tech,ACC,24–8,16,At-Large
5,Mississippi State,SEC,23–10,20,At-Large
6,Maryland,Big Ten,22–10,22,At-Large
7,Louisville,ACC,20–13,25,At-Large
8,VCU,Atlantic 10,25–7,29,At-Large
9,UCF,American,23–8,34,At-Large
10,Minnesota,Big Ten,21–13,39,At-Large
11,Temple,American,23–9,43,At-Large
11,Belmont,Ohio Valley,26–5,42,At-Large
12,Liberty,ASUN,28–6,50,Automatic
13,Saint Louis,Atlantic 10,23–12,53,Automatic
14,Yale,Ivy,22–7,55,Automatic
15,Bradley,Missouri Valley,20–14,61,Automatic
16,North Carolina Central,MEAC,18–15,68,Automatic
16,North Dakota State,Summit,18–15,67,Automatic
1,Gonzaga,West Coast,30–3,4,At-Large
2,Michigan,Big Ten,28–6,8,At-Large
3,Texas Tech,Big 12,26–6,10,At-Large
4,Florida State,ACC,27–7,14,At-Large
5,Marquette,Big East,24–9,17,At-Large
6,Buffalo,MAC,31–3,23,Automatic
7,Nevada,Mountain West,29–4,26,At-Large
8,Syracuse,ACC,20–13,30,At-Large
9,Baylor,Big 12,19–13,35,At-Large
10,Florida,SEC,19–15,40,At-Large
11,Arizona State,Pac-12,22–10,45,At-Large
11,St. John's,Big East,21–12,47,At-Large
12,Murray State,Ohio Valley,27–4,46,Automatic
13,Vermont,America East,27–6,52,Automatic
14,Northern Kentucky,Horizon,26–8,58,Automatic
15,Montana,Big Sky,26–8,59,Automatic
16,Fairleigh Dickinson,Northeast,20–13,66,Automatic
16,Prairie View A&M,SWAC,22–12,65,Automatic
1,Virginia,ACC,29–3,2,At-Large
2,Tennessee,SEC,29–5,5,At-Large
3,Purdue,Big Ten,23–9,12,At-Large
4,Kansas State,Big 12,25–8,15,At-Large
5,Wisconsin,Big Ten,23–10,19,At-Large
6,Villanova,Big East,25–9,21,Automatic
7,Cincinnati,American,28–6,27,Automatic
8,Ole Miss,SEC,20–12,31,At-Large
9,Oklahoma,Big 12,19–13,36,At-Large
10,Iowa,Big Ten,22–11,37,At-Large
11,Saint Mary's,West Coast,22–11,44,Automatic
12,Oregon,Pac-12,23–12,48,Automatic
13,UC Irvine,Big West,30–5,51,Automatic
14,Old Dominion,C-USA,26–8,56,Automatic
15,Colgate,Patriot,24–10,60,Automatic
16,Gardner-Webb,Big South,23–11,63,Automatic
1,North Carolina,ACC,27–6,3,At-Large
2,Kentucky,SEC,27–6,7,At-Large
3,Houston,American,31–3,9,At-Large
4,Kansas,Big 12,25–9,13,At-Large
5,Auburn,SEC,26–9,18,Automatic
6,Iowa State,Big 12,23–11,24,Automatic
7,Wofford,Southern,29–4,28,Automatic
8,Utah State,Mountain West,28–6,32,Automatic
9,Washington,Pac-12,26–8,33,At-Large
10,Seton Hall,Big East,20–13,38,At-Large
11,Ohio State,Big Ten,19–14,41,At-Large
12,New Mexico State,WAC,30–4,49,Automatic
13,Northeastern,CAA,23–10,54,Automatic
14,Georgia State,Sun Belt,24–9,57,Automatic
15,Abilene Christian,Southland,27–6,62,Automatic
16,Iona,MAAC,17–15,64,Automatic
